month,lat_bin,lon_bin,count,mean_frp,h_share
2019-09,-33.1,143.5,9,4.522222222222222,0.2222222222222222
2019-09,-33.1,146.5,4,2.25,0.0
2019-09,-33.1,146.7,4,3.2,0.0
2019-09,-33.1,147.1,4,6.525,0.0
2019-09,-33.1,147.3,3,4.933333333333334,0.0
2019-09,-33.1,147.7,1,4.5,0.0
2019-09,-33.1,147.9,2,0.5,0.0
2019-09,-33.1,148.5,1,2.7,0.0
2019-09,-33.1,148.7,6,4.316666666666666,0.0
2019-09,-33.1,149.1,6,6.516666666666667,0.0
2019-09,-33.1,149.9,36,6.272222222222222,0.027777777777777776
2019-09,-33.1,150.3,53,3.1113207547169814,0.0
2019-09,-33.1,150.5,352,6.383806818181818,0.017045454545454544
2019-09,-33.1,150.7,6,4.516666666666667,0.0
2019-09,-33.1,150.9,129,3.721705426356589,0.007751937984496124
2019-09,-33.1,151.1,196,6.338775510204082,0.025510204081632654
2019-09,-33.1,151.3,1,1.3,0.0
2019-09,-33.1,151.5,16,4.06875,0.0625
2019-09,-32.9,115.9,24,6.3125,0.0
2019-09,-32.9,116.1,18,2.2222222222222223,0.0
2019-09,-32.9,116.5,43,7.202325581395349,0.20930232558139536
2019-09,-32.9,117.5,1,0.9,0.0
2019-09,-32.9,118.1,1,2.6,0.0
2019-09,-32.9,120.7,4,15.325000000000001,0.0
2019-09,-32.9,120.9,58,17.829310344827583,0.08620689655172414
2019-09,-32.9,121.5,1,6.6,0.0
2019-09,-32.9,123.5,39,14.012820512820513,0.05128205128205128
2019-09,-32.9,123.7,26,12.103846153846153,0.0
2019-09,-32.9,134.9,1,1.6,0.0
2019-09,-32.9,137.5,34,1.9823529411764707,0.0
2019-09,-32.9,138.9,1,3.1,0.0
2019-09,-32.9,146.5,28,8.492857142857144,0.03571428571428571
2019-09,-32.9,146.7,1,0.9,0.0
2019-09,-32.9,147.3,2,5.1499999999999995,0.0
2019-09,-32.9,148.1,1,28.3,0.0
2019-09,-32.9,150.3,322,15.333229813664596,0.07142857142857142
2019-09,-32.9,150.5,66,3.8303030303030305,0.0
2019-09,-32.9,150.7,106,6.620754716981133,0.04716981132075472
2019-09,-32.9,150.9,180,4.705555555555556,0.022222222222222223
2019-09,-32.9,151.1,172,3.2523255813953487,0.005813953488372093
2019-09,-32.9,151.3,44,4.590909090909091,0.0
2019-09,-32.9,151.5,2,3.25,0.0
2019-09,-32.7,116.1,9,18.88888888888889,0.0
2019-09,-32.7,116.9,2,2.35,0.0
2019-09,-32.7,117.1,1,3.3,0.0
2019-09,-32.7,117.3,4,1.775,0.0
2019-09,-32.7,120.3,7,57.371428571428574,0.2857142857142857
2019-09,-32.7,120.5,27,30.68148148148148,0.1111111111111111
2019-09,-32.7,145.7,2,1.5,0.0
2019-09,-32.7,145.9,3,0.6999999999999998,0.0
2019-09,-32.7,146.5,5,1.8199999999999998,0.0
2019-09,-32.7,146.7,1,3.2,0.0
2019-09,-32.7,147.1,1,3.8,0.0
2019-09,-32.7,147.3,39,8.34871794871795,0.20512820512820512
2019-09,-32.7,147.7,1,7.5,0.0
2019-09,-32.7,148.7,6,0.9166666666666666,0.0
2019-09,-32.7,149.1,1,1.9,0.0
2019-09,-32.7,150.3,208,8.572596153846153,0.019230769230769232
2019-09,-32.7,150.5,197,7.047208121827411,0.04060913705583756
2019-09,-32.7,150.7,150,5.1,0.013333333333333334
2019-09,-32.7,150.9,2,1.55,0.0
2019-09,-32.7,151.1,49,3.004081632653061,0.04081632653061224
2019-09,-32.5,115.9,6,1.3333333333333333,0.0
2019-09,-32.5,116.1,133,4.921052631578948,0.022556390977443608
2019-09,-32.5,116.3,10,3.9800000000000004,0.0
2019-09,-32.5,116.5,13,5.653846153846154,0.0
2019-09,-32.5,117.1,2,3.8,0.0
2019-09,-32.5,119.7,31,39.125806451612895,0.16129032258064516
2019-09,-32.5,119.9,14,77.84285714285714,0.2857142857142857
2019-09,-32.5,120.1,47,21.970212765957445,0.0851063829787234
2019-09,-32.5,120.3,118,18.874576271186438,0.09322033898305085
2019-09,-32.5,146.1,14,3.664285714285714,0.0
2019-09,-32.5,146.9,6,1.4000000000000001,0.0
2019-09,-32.5,147.1,7,3.185714285714286,0.0
2019-09,-32.5,147.3,3,3.466666666666667,0.0
2019-09,-32.5,147.5,7,15.757142857142856,0.0
2019-09,-32.5,147.7,10,7.94,0.2
2019-09,-32.5,147.9,1,9.2,0.0
2019-09,-32.5,148.1,3,1.0,0.0
