latitude,longitude,acq_date,acq_time,confidence,frp
-29.78419,152.17261,14/09/2019,403,n,7.4
-37.58393,148.62831,31/12/2019,1454,n,2.2
-28.95866,152.34654,09/10/2019,1454,n,0.7
-25.12857,149.29613,12/10/2019,1442,n,1.2
-18.94615,146.06393,13/12/2019,418,n,5.9
-17.33478,144.04466,18/12/2019,1530,n,0.8
-27.87848,131.96469,31/12/2019,518,n,29.9
-33.38302,150.2502,12/09/2019,1506,n,26.4
-31.18605,123.63936,11/10/2019,1548,n,2.2
-21.19098,117.35788,23/10/2019,512,l,51.0
-13.12567,135.02007,14/12/2019,400,n,13.9
-15.0405,142.59731,12/09/2019,354,n,12.1
-12.25033,132.67702,10/09/2019,436,n,6.0
-32.27716,123.43031,01/01/2020,454,h,125.7
-35.01322,150.43657,23/12/2019,1542,n,0.9
-37.24226,148.45853,19/12/2019,400,n,20.3
-35.76003,149.9995,31/12/2019,1454,n,2.0
-35.21781,150.21539,21/12/2019,318,h,41.0
-29.97908,152.44966,22/10/2019,348,n,37.3
-12.09156,136.42902,10/09/2019,436,n,3.3
-26.16263,146.54086,17/11/2019,400,l,2.4
-26.8091,129.47296,29/12/2019,554,h,16.0
-12.69694,135.37604,14/10/2019,442,n,9.8
-29.34084,152.10349,14/12/2019,1512,n,6.2
-17.17072,124.13734,27/11/2019,600,n,5.0
-36.02718,149.88385,29/12/2019,1348,n,4.2
-27.72465,128.22699,28/12/2019,430,n,68.1
-29.73397,152.37061,20/09/2019,1507,n,0.7
-29.97662,152.36566,11/09/2019,312,n,14.3
-16.22499,125.33167,29/10/2019,500,l,10.9
-13.15458,141.7865,19/11/2019,330,l,1.9
-33.74303,150.24768,14/12/2019,1512,n,2.2
-16.36578,141.39784,29/11/2019,1630,n,1.1
-13.10071,143.19037,18/12/2019,424,n,7.6
-17.31169,123.88601,30/10/2019,442,h,9.5
-32.29238,123.46368,01/01/2020,636,n,57.3
-14.24804,129.9205,10/10/2019,418,n,7.4
-24.3868,129.06313,30/12/2019,1648,n,27.3
-16.50238,124.02744,22/09/2019,1748,n,3.1
-21.65605,125.46226,29/12/2019,418,n,8.4
-13.81964,130.93988,24/11/2019,512,n,8.2
-33.92078,150.56252,25/12/2019,1506,n,0.9
-28.62172,126.46828,24/10/2019,454,l,3.8
-12.43737,136.43507,10/11/2019,400,n,4.6
-15.90564,143.91052,13/11/2019,1448,h,5.9
-32.63697,150.79494,31/12/2019,336,n,41.4
-31.33266,152.29192,11/09/2019,1424,n,1.9
-17.0668,143.32339,29/09/2019,425,l,6.9
-31.36326,152.3918,14/11/2019,1436,n,0.7
-29.27473,153.03386,21/11/2019,1542,n,5.8
-17.92681,142.68576,22/12/2019,306,n,13.3
